page,mbfclink,bias_rating,factual_reporting,country,media_type,trafficpopularity,credibility_rating,source,domain,leaning,press_freedom_rank,bias_label_5_class
Milwaukee Journal-Sentinal,https://mediabiasfactcheck.com/milwaukee-journal-sentinel/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.jsonline.com/,jsonline.com,leftcenter,,leftcenter
Minneapolis Star-Tribune,https://mediabiasfactcheck.com/minneapolis-star-tribune/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Newspaper,High Traffic,HIGH CREDIBILITY,http://www.startribune.com/,startribune.com,leftcenter,,leftcenter
Mississippi Today,https://mediabiasfactcheck.com/mississippi-today-bias/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://mississippitoday.org/,mississippitoday.org,leftcenter,MOSTLY FREE,leftcenter
Money Talks News,https://mediabiasfactcheck.com/money-talks-news-bias/,LEFT-CENTER,HIGH,USA,Website,Medium Traffic,HIGH CREDIBILITY,https://www.moneytalksnews.com/,moneytalksnews.com,leftcenter,MOSTLY FREE,leftcenter
Mongabay,https://mediabiasfactcheck.com/mongabay/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://news.mongabay.com,mongabay.com,leftcenter,,leftcenter
Montgomery Advertiser,https://mediabiasfactcheck.com/montgomery-advertiser-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.montgomeryadvertiser.com/,montgomeryadvertiser.com,leftcenter,MOSTLY FREE,leftcenter
Morning Brew,https://mediabiasfactcheck.com/morning-brew-bias/,LEFT-CENTER,HIGH,USA,Website,High Traffic,HIGH CREDIBILITY,https://www.morningbrew.com/,morningbrew.com,leftcenter,MOSTLY FREE,leftcenter
Moscow Times,https://mediabiasfactcheck.com/moscow-times/,LEFT-CENTER,HIGH,Netherlands,Website,Medium Traffic,HIGH CREDIBILITY,https://themoscowtimes.com/,themoscowtimes.com,leftcenter,,leftcenter
Mother Jones,https://mediabiasfactcheck.com/mother-jones/,LEFT-CENTER,HIGH,USA (45/180 Press Freedom),Magazine,High Traffic,HIGH CREDIBILITY,https://www.motherjones.com/,motherjones.com,leftcenter,,leftcenter
Moultrie Observer,https://mediabiasfactcheck.com/moultrie-observer-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.moultrieobserver.com/,moultrieobserver.com,leftcenter,,leftcenter
MSN.com,https://mediabiasfactcheck.com/msn-com/,LEFT-CENTER,HIGH,USA (45/180 Press Freedom),News Agency,High Traffic,HIGH CREDIBILITY,https://www.msn.com/,msn.com,leftcenter,,leftcenter
Muncie Star Press,https://mediabiasfactcheck.com/muncie-star-press-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.thestarpress.com/,thestarpress.com,leftcenter,MOSTLY FREE,leftcenter
MyCentralJersey.com,https://mediabiasfactcheck.com/mycentraljersey-com/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.mycentraljersey.com/,mycentraljersey.com,leftcenter,,leftcenter
National Monitor,https://mediabiasfactcheck.com/leftcenter/national-monitor/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Website,Minimal Traffic,HIGH CREDIBILITY,http://natmonitor.com/,natmonitor.com,leftcenter,,leftcenter
National Newswatch,https://mediabiasfactcheck.com/national-newswatch/,LEFT-CENTER,MOSTLY FACTUAL,Canada (14/180 Press Freedom),Website,Medium Traffic,HIGH CREDIBILITY,https://www.nationalnewswatch.com/,nationalnewswatch.com,leftcenter,,leftcenter
National Youth Right Association,https://mediabiasfactcheck.com/national-youth-rights-association/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,http://www.youthrights.org/,youthrights.org,leftcenter,,leftcenter
NBC 10 Philadelphia – WCAU,https://mediabiasfactcheck.com/nbc-10-philadelphia-wcau-bias/,LEFT-CENTER,HIGH,USA,TV Station,High Traffic,HIGH CREDIBILITY,https://www.nbcphiladelphia.com/,nbcphiladelphia.com,leftcenter,,leftcenter
NBC Chicago – WMAQ,https://mediabiasfactcheck.com/nbc-chicago-wmaq-bias/,LEFT-CENTER,HIGH,USA,TV Station,High Traffic,HIGH CREDIBILITY,https://www.nbcchicago.com/,nbcchicago.com,leftcenter,,leftcenter
NBC Los Angeles – KNBC,https://mediabiasfactcheck.com/nbc-los-angeles-knbc/,LEFT-CENTER,HIGH,USA,TV Station,High Traffic,HIGH CREDIBILITY,https://www.nbclosangeles.com/,nbclosangeles.com,leftcenter,,leftcenter
NBC News,https://mediabiasfactcheck.com/nbc-news/,LEFT-CENTER,HIGH,USA,TV Station,High Traffic,HIGH CREDIBILITY,http://www.nbcnews.com/,nbcnews.com,leftcenter,MOSTLY FREE,leftcenter
NBCNewYork.com,https://mediabiasfactcheck.com/nbcnewyork-com/,LEFT-CENTER,HIGH,USA,TV Station,High Traffic,HIGH CREDIBILITY,https://www.nbcnewyork.com,nbcnewyork.com,leftcenter,,leftcenter
NDTV,https://mediabiasfactcheck.com/ndtv/,LEFT-CENTER,MIXED,India (142/180 Press Freedom),TV Station,High Traffic,MEDIUM CREDIBILITY,https://www.ndtv.com/,ndtv.com,leftcenter,,leftcenter
New America Foundation,https://mediabiasfactcheck.com/new-america/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://www.newamerica.org/,newamerica.org,leftcenter,,leftcenter
New Castle News,https://mediabiasfactcheck.com/new-castle-news/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.ncnewsonline.com/,ncnewsonline.com,leftcenter,,leftcenter
News1130 & City News,https://mediabiasfactcheck.com/news1130-city-news/,LEAST BIASED,HIGH,Canada,Radio Station,High Traffic,HIGH CREDIBILITY,https://vancouver.citynews.ca/,vancouver.citynews.ca,leftcenter,MOSTLY FREE,center
NewsCenterMaine.com,https://mediabiasfactcheck.com/newscentermaine-com/,LEFT-CENTER,HIGH,USA,TV Station,Medium Traffic,HIGH CREDIBILITY,https://www.newscentermaine.com/,newscentermaine.com,leftcenter,,leftcenter
New York Daily News,https://mediabiasfactcheck.com/new-york-daily-news/,LEFT-CENTER,HIGH,USA (45/180 Press Freedom),Newspaper,High Traffic,HIGH CREDIBILITY,https://www.nydailynews.com/,nydailynews.com,leftcenter,,leftcenter
New York Times,https://mediabiasfactcheck.com/new-york-times/,LEFT-CENTER,HIGH,USA,Newspaper,High Traffic,HIGH CREDIBILITY,https://www.nytimes.com/,nytimes.com,leftcenter,,leftcenter
News and Guts,https://mediabiasfactcheck.com/news-and-guts/,LEFT-CENTER,MOSTLY FACTUAL,USA (44/180 Press Freedom),Website,Medium Traffic,HIGH CREDIBILITY,https://www.newsandguts.com/,newsandguts.com,leftcenter,,leftcenter
Newser,https://mediabiasfactcheck.com/newser/,LEFT-CENTER,HIGH,USA,Website,High Traffic,HIGH CREDIBILITY,https://www.newser.com/,newser.com,leftcenter,,leftcenter
Newsweek,https://mediabiasfactcheck.com/newsweek/,LEFT-CENTER,HIGH,USA,Magazine,High Traffic,HIGH CREDIBILITY,https://www.newsweek.com/,newsweek.com,leftcenter,MOSTLY FREE,leftcenter
Newsy,https://mediabiasfactcheck.com/newsy/,LEFT-CENTER,HIGH,USA (45/180 Press Freedom),TV Station,Medium Traffic,HIGH CREDIBILITY,https://www.newsy.com/,newsy.com,leftcenter,,leftcenter
Niagara Gazette,https://mediabiasfactcheck.com/niagara-gazette/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.niagara-gazette.com/,niagara-gazette.com,leftcenter,,leftcenter
Nieman Journalism Lab,https://mediabiasfactcheck.com/nieman-journalism-lab-bias/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://www.niemanlab.org/,niemanlab.org,leftcenter,,leftcenter
Niskanen Center,https://mediabiasfactcheck.com/niskanen-center/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://niskanencenter.org,niskanencenter.org,leftcenter,,leftcenter
Norwich Bulletin,https://mediabiasfactcheck.com/norwich-bulletin-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.norwichbulletin.com/,norwichbulletin.com,leftcenter,MOSTLY FREE,leftcenter
Novinky.cz,https://mediabiasfactcheck.com/novinky-cz-pravo/,LEFT-CENTER,MOSTLY FACTUAL,Czech Republic,Website,High Traffic,HIGH CREDIBILITY,https://www.novinky.cz/,novinky.cz,leftcenter,,leftcenter
NPR,https://mediabiasfactcheck.com/npr/,LEFT-CENTER,HIGH,USA,Radio Station,High Traffic,HIGH CREDIBILITY,https://www.npr.org/,npr.org,leftcenter,,leftcenter
Ocala StarBanner,https://mediabiasfactcheck.com/ocala-starbanner-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.ocala.com/,ocala.com,leftcenter,MOSTLY FREE,leftcenter
Oil and Water Don’t Mix,https://mediabiasfactcheck.com/oil-and-water-dont-mix/,LEFT-CENTER,HIGH,USA (45/180 Press Freedom),Organization/Foundation,,HIGH CREDIBILITY,https://www.oilandwaterdontmix.org/,oilandwaterdontmix.org,leftcenter,,leftcenter
OneIndia,https://mediabiasfactcheck.com/oneindia/,LEFT-CENTER,MIXED,India,Website,High Traffic,MEDIUM CREDIBILITY,https://www.oneindia.com/,oneindia.com,leftcenter,,leftcenter
Opelousas Daily World,https://mediabiasfactcheck.com/opelousas-daily-world-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.dailyworld.com/,dailyworld.com,leftcenter,MOSTLY FREE,leftcenter
Open the Government,https://mediabiasfactcheck.com/open-the-government/,LEFT-CENTER,MOSTLY FACTUAL,USA (45/180 Press Freedom),Organization/Foundation,Minimal Traffic,MEDIUM CREDIBILITY,https://www.openthegovernment.org/,openthegovernment.org,leftcenter,,leftcenter
Oskaloosa Herald,https://mediabiasfactcheck.com/oskaloosa-herald-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.oskaloosa.com/,oskaloosa.com,leftcenter,,leftcenter
Ottumwa Courier,https://mediabiasfactcheck.com/ottumwa-courier-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.ottumwacourier.com/,ottumwacourier.com,leftcenter,,leftcenter
Our World In Data,https://mediabiasfactcheck.com/our-world-in-data/,LEFT-CENTER,HIGH,United Kingdom (33/180 Press Freedom),Website,High Traffic,HIGH CREDIBILITY,https://ourworldindata.org,ourworldindata.org,leftcenter,,leftcenter
Outside The Beltway,https://mediabiasfactcheck.com/outside-the-beltway/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Website,Minimal Traffic,HIGH CREDIBILITY,https://www.outsidethebeltway.com/,outsidethebeltway.com,leftcenter,,leftcenter
Ozy Media,https://mediabiasfactcheck.com/ozy-media/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Website,Medium Traffic,HIGH CREDIBILITY,https://www.ozy.com/,ozy.com,leftcenter,,leftcenter
Palm Beach Daily News,https://mediabiasfactcheck.com/palm-beach-daily-news/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.palmbeachdailynews.com/,palmbeachdailynews.com,leftcenter,,leftcenter
Panola Watchman,https://mediabiasfactcheck.com/panola-watchman-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.panolawatchman.com/,panolawatchman.com,leftcenter,,leftcenter
Panama City News-Herald,https://mediabiasfactcheck.com/panama-city-news-herald-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.newsherald.com/,newsherald.com,leftcenter,MOSTLY FREE,leftcenter
Parry Sound Beacon Star,https://mediabiasfactcheck.com/parry-sound-beacon-star-bias/,LEFT-CENTER,HIGH,Canada,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.parrysound.com/parrysound-news/,parrysound.com,leftcenter,,leftcenter
Patriotic Millionaires,https://mediabiasfactcheck.com/patriotic-millionaires/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,https://patrioticmillionaires.org,patrioticmillionaires.org,leftcenter,,leftcenter
PBS News Hour,https://mediabiasfactcheck.com/pbs-news-hour/,LEFT-CENTER,HIGH,USA (45/180 Press Freedom),TV Station,High Traffic,HIGH CREDIBILITY,https://www.pbs.org/newshour/,pbs.org,leftcenter,,leftcenter
Pekin Daily Times,https://mediabiasfactcheck.com/pekin-daily-times-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.pekintimes.com/,pekintimes.com,leftcenter,MOSTLY FREE,leftcenter
Philadelphia Inquirer,https://mediabiasfactcheck.com/philadelphia-inquirer/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Newspaper,High Traffic,HIGH CREDIBILITY,https://www.inquirer.com/,inquirer.com,leftcenter,,leftcenter
Philly Voice,https://mediabiasfactcheck.com/philly-voice/,LEFT-CENTER,HIGH,USA,Website,Medium Traffic,HIGH CREDIBILITY,https://www.phillyvoice.com/,phillyvoice.com,leftcenter,,leftcenter
Politico,https://mediabiasfactcheck.com/politico/,LEFT-CENTER,HIGH,USA,Website,High Traffic,HIGH CREDIBILITY,https://www.politico.com,politico.com,leftcenter,MOSTLY FREE,leftcenter
Politifact,https://mediabiasfactcheck.com/politifact/,LEFT-CENTER,HIGH,USA,Website,High Traffic,HIGH CREDIBILITY,https://www.politifact.com/,politifact.com,leftcenter,MOSTLY FREE,leftcenter
Polygon,https://mediabiasfactcheck.com/polygon/,LEFT-CENTER,HIGH,USA,Website,High Traffic,HIGH CREDIBILITY,https://www.polygon.com/,polygon.com,leftcenter,,leftcenter
Pontiac Daily Leader,https://mediabiasfactcheck.com/pontiac-daily-leader-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.pontiacdailyleader.com/,pontiacdailyleader.com,leftcenter,MOSTLY FREE,leftcenter
Population Connection,https://mediabiasfactcheck.com/population-connection/,LEFT,HIGH,USA,Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,http://www.populationconnection.org,populationconnection.org,leftcenter,,left
Port Alberni Valley News,https://mediabiasfactcheck.com/port-alberni-valley-news-bias/,LEFT-CENTER,HIGH,Canada,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.albernivalleynews.com/,albernivalleynews.com,leftcenter,,leftcenter
Positive News,https://mediabiasfactcheck.com/positive-news/,LEFT-CENTER,HIGH,United Kingdom (33/180 Press Freedom),Magazine,Minimal Traffic,HIGH CREDIBILITY,https://www.positive.news,positive.news,leftcenter,,leftcenter
Preston Citizen,https://mediabiasfactcheck.com/preston-citizen-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.hjnews.com/preston/,hjnews.com,leftcenter,,leftcenter
Protocol,https://mediabiasfactcheck.com/protocol-bias/,LEFT-CENTER,HIGH,USA,Website,Medium Traffic,HIGH CREDIBILITY,https://www.protocol.com/,protocol.com,leftcenter,,leftcenter
Public News Service,https://mediabiasfactcheck.com/public-news-service-bias/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,publicnewsservice.org,publicnewsservice.org,leftcenter,,leftcenter
Publico,https://mediabiasfactcheck.com/publico-bias/,LEFT-CENTER,HIGH,Spain,Website,High Traffic,HIGH CREDIBILITY,https://www.publico.es/,publico.es,leftcenter,,leftcenter
Puck.News,https://mediabiasfactcheck.com/puck-news-bias/,LEFT-CENTER,MOSTLY FACTUAL,USA,Website,Medium Traffic,MEDIUM CREDIBILITY,https://puck.news/,puck.news,leftcenter,MOSTLY FREE,leftcenter
Pueblo Chieftain,https://mediabiasfactcheck.com/pueblo-chieftain-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.chieftain.com/,chieftain.com,leftcenter,MOSTLY FREE,leftcenter
Quartz,https://mediabiasfactcheck.com/quartz/,LEFT-CENTER,HIGH,USA,Website,High Traffic,HIGH CREDIBILITY,https://qz.com/,qz.com,leftcenter,MOSTLY FREE,leftcenter
Radio Television Marti,https://mediabiasfactcheck.com/radio-television-marti/,LEFT-CENTER,MIXED,USA,Radio/TV,Medium Traffic,MEDIUM CREDIBILITY,https://www.radiotelevisionmarti.com/,radiotelevisionmarti.com,leftcenter,,leftcenter
Rappler,https://mediabiasfactcheck.com/rappler/,LEFT-CENTER,HIGH,Philippines,Website,High Traffic,HIGH CREDIBILITY,https://www.rappler.com/,rappler.com,leftcenter,LIMITED FREEDOM,leftcenter
Relevant Magazine,https://mediabiasfactcheck.com/relevant-magazine/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Magazine,Medium Traffic,HIGH CREDIBILITY,https://relevantmagazine.com,relevantmagazine.com,leftcenter,,leftcenter
Religion News Service,https://mediabiasfactcheck.com/religion-news-service-rns/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,http://religionnews.com,religionnews.com,leftcenter,,leftcenter
Richmond Palladium-Item,https://mediabiasfactcheck.com/richmond-palladium-item-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.pal-item.com/,pal-item.com,leftcenter,MOSTLY FREE,leftcenter
Ridgecrest Daily Independent,https://mediabiasfactcheck.com/ridgecrest-daily-independent-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.ridgecrestca.com/,ridgecrestca.com,leftcenter,MOSTLY FREE,leftcenter
RocketNews,https://mediabiasfactcheck.com/rocketnews/,LEFT-CENTER,MIXED,USA,Website,Minimal Traffic,MEDIUM CREDIBILITY,https://www.rocketnews.com/,rocketnews.com,leftcenter,MOSTLY FREE,leftcenter
Rockford Register Star,https://mediabiasfactcheck.com/rockford-register-star-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.rrstar.com/,rrstar.com,leftcenter,MOSTLY FREE,leftcenter
Rock Hill Herald,https://mediabiasfactcheck.com/rock-hill-herald/,LEFT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.heraldonline.com/,heraldonline.com,leftcenter,,leftcenter
Sacramento Bee,https://mediabiasfactcheck.com/sacramento-bee/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Newspaper,High Traffic,HIGH CREDIBILITY,https://www.sacbee.com,sacbee.com,leftcenter,,leftcenter
Salina Journal,https://mediabiasfactcheck.com/salina-journal-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.salina.com/,salina.com,leftcenter,MOSTLY FREE,leftcenter
Salisbury Daily Times,https://mediabiasfactcheck.com/salisbury-daily-times-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.delmarvanow.com/,delmarvanow.com,leftcenter,MOSTLY FREE,leftcenter
San Francisco Chronicle,https://mediabiasfactcheck.com/san-francisco-chronicle/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Newspaper,High Traffic,HIGH CREDIBILITY,https://www.sfchronicle.com/,sfchronicle.com,leftcenter,,leftcenter
San Jose Mercury News,https://mediabiasfactcheck.com/san-jose-mercury-news/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Newspaper,,HIGH CREDIBILITY,https://www.mercurynews.com/,mercurynews.com,leftcenter,,leftcenter
San Luis Obispo Tribune,https://mediabiasfactcheck.com/san-luis-obispo-tribune/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.sanluisobispo.com/,sanluisobispo.com,leftcenter,MOSTLY FREE,leftcenter
Santa Barbara Independent,https://mediabiasfactcheck.com/santa-barbara-independent/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Website,Medium Traffic,HIGH CREDIBILITY,http://www.independent.com/,independent.com,leftcenter,,leftcenter
Saudi Gazette,https://mediabiasfactcheck.com/saudi-gazette/,LEFT-CENTER (by Saudi standards),MIXED,Saudi Arabia (170/180 Press Freedom),Newspaper,Medium Traffic,MEDIUM CREDIBILITY,saudigazette.com.sa,saudigazette.com.sa,leftcenter,,leftcenter
Sciencing,https://mediabiasfactcheck.com/sciencing/,LEFT-CENTER,HIGH,USA,Website,High Traffic,HIGH CREDIBILITY,https://sciencing.com/,sciencing.com,leftcenter,MOSTLY FREE,leftcenter
Seattle Times,https://mediabiasfactcheck.com/seattle-times/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Newspaper,High Traffic,HIGH CREDIBILITY,http://www.seattletimes.com/,seattletimes.com,leftcenter,,leftcenter
Self Magazine,https://mediabiasfactcheck.com/self-magazine-bias/,LEFT-CENTER,MOSTLY FACTUAL,USA,Website,High Traffic,HIGH CREDIBILITY,https://www.self.com/,self.com,leftcenter,,leftcenter
Sentencing Project,https://mediabiasfactcheck.com/sentencing-project/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,https://www.sentencingproject.org/,sentencingproject.org,leftcenter,,leftcenter
SFGate,https://mediabiasfactcheck.com/sfgate/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Website,High Traffic,HIGH CREDIBILITY,https://www.sfgate.com/,sfgate.com,leftcenter,,leftcenter
Snopes,https://mediabiasfactcheck.com/snopes/,LEFT-CENTER,MOSTLY FACTUAL,USA,Website,High Traffic,HIGH CREDIBILITY,https://www.snopes.com/,snopes.com,leftcenter,MOSTLY FREE,leftcenter
Sojourners,https://mediabiasfactcheck.com/sojourners-soho/,LEFT-CENTER,HIGH,USA (45/180 Press Freedom),Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://sojo.net/,sojo.net,leftcenter,,leftcenter
SooToday.com,https://mediabiasfactcheck.com/sootoday-com/,LEFT-CENTER,HIGH,Canada (14/180 Press Freedom),Website,Medium Traffic,HIGH CREDIBILITY,https://www.sootoday.com/,sootoday.com,leftcenter,,leftcenter
South China Morning Post,https://mediabiasfactcheck.com/south-china-morning-post/,LEFT-CENTER,MIXED,Hong Kong,Newspaper,High Traffic,MEDIUM CREDIBILITY,https://www.scmp.com,scmp.com,leftcenter,LIMITED FREEDOM,leftcenter
Special Broadcasting Service,https://mediabiasfactcheck.com/special-broadcasting-service-sbs/,LEFT-CENTER,HIGH,Australia,TV Station,High Traffic,HIGH CREDIBILITY,https://www.sbs.com.au/,sbs.com.au,leftcenter,MOSTLY FREE,leftcenter
Spiegel Online,https://mediabiasfactcheck.com/spiegel-online/,LEFT-CENTER,HIGH,Germany (11/180 Press Freedom),Website,High Traffic,HIGH CREDIBILITY,https://www.spiegel.de/,spiegel.de,leftcenter,,leftcenter
Spin,https://mediabiasfactcheck.com/spin-magazine/,LEFT-CENTER,HIGH,USA,Website,Medium Traffic,HIGH CREDIBILITY,https://www.spin.com/,spin.com,leftcenter,MOSTLY FREE,leftcenter
Springfield News-Leader,https://mediabiasfactcheck.com/springfield-news-leader/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.news-leader.com/,news-leader.com,leftcenter,,leftcenter
St. Augustine Record,https://mediabiasfactcheck.com/st-augustine-record-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.staugustine.com/,staugustine.com,leftcenter,MOSTLY FREE,leftcenter
Stamford Advocate,https://mediabiasfactcheck.com/stamford-advocate/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.stamfordadvocate.com/,stamfordadvocate.com,leftcenter,,leftcenter
STAT,https://mediabiasfactcheck.com/stat-news/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Website,High Traffic,HIGH CREDIBILITY,https://www.statnews.com/,statnews.com,leftcenter,,leftcenter
St. Clair News-Aegis,https://mediabiasfactcheck.com/st-clair-news-aegis-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.newsaegis.com/,newsaegis.com,leftcenter,,leftcenter
Stepfeed,https://mediabiasfactcheck.com/stepfeed/,LEFT-CENTER,MIXED,United Arab Emirates (132/180 Press Freedom),Website,Medium Traffic,MEDIUM CREDIBILITY,https://stepfeed.com,stepfeed.com,leftcenter,,leftcenter
Stop Fake,https://mediabiasfactcheck.com/stopfake/,LEFT-CENTER,HIGH,Ukraine,Website,Minimal Traffic,HIGH CREDIBILITY,https://www.stopfake.org/,stopfake.org,leftcenter,,leftcenter
Successful Farming Magazine,https://mediabiasfactcheck.com/successful-farming-magazine-bias/,LEFT-CENTER,HIGH,USA,Magazine,Medium Traffic,HIGH CREDIBILITY,https://www.agriculture.com/,agriculture.com,leftcenter,,leftcenter
Syrian Observatory for Human Rights,https://mediabiasfactcheck.com/syrian-observatory-for-human-rights-sohr/,LEFT-CENTER,MOSTLY FACTUAL,USA (45/180 Press Freedom),Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://www.syriahr.com/,syriahr.com,leftcenter,,leftcenter
Tampa Bay Times,https://mediabiasfactcheck.com/tampa-bay-times/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Newspaper,High Traffic,HIGH CREDIBILITY,https://www.tampabay.com,tampabay.com,leftcenter,,leftcenter
Task and Purpose,https://mediabiasfactcheck.com/task-and-purpose/,LEFT-CENTER,MOSTLY FACTUAL,USA,Website,High Traffic,HIGH CREDIBILITY,https://taskandpurpose.com/,taskandpurpose.com,leftcenter,MOSTLY FREE,leftcenter
Tax Justice Network,https://mediabiasfactcheck.com/tax-justice-network/,LEFT-CENTER,HIGH,United Kingdom (33/180 Press Freedom),Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,https://www.taxjustice.net/,taxjustice.net,leftcenter,,leftcenter
Tax Policy Center,https://mediabiasfactcheck.com/tax-policy-center/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://www.taxpolicycenter.org/,taxpolicycenter.org,leftcenter,,leftcenter
TCPalm – Treasure Coast News,https://mediabiasfactcheck.com/tcpalm-treasure-coast-news-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.tcpalm.com/,tcpalm.com,leftcenter,MOSTLY FREE,leftcenter
TechCrunch,https://mediabiasfactcheck.com/techcrunch/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Website,High Traffic,HIGH CREDIBILITY,https://techcrunch.com,techcrunch.com,leftcenter,,leftcenter
Texas Monthly,https://mediabiasfactcheck.com/texas-monthly/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Magazine,Medium Traffic,HIGH CREDIBILITY,https://www.texasmonthly.com,texasmonthly.com,leftcenter,,leftcenter
Texas Tribune,https://mediabiasfactcheck.com/texas-tribune/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Organization/Foundation,High Traffic,HIGH CREDIBILITY,https://www.texastribune.org/,texastribune.org,leftcenter,,leftcenter
